group_id,question_id,stage,participant_id,seconds,n_words,words_length__mean,words_length__median,words_length__std,consensus_reached
71,12,s2_1,244,0.0,5,4.8,5.0,2.6381811916545836,False
71,12,s2_1,244,16.992359,13,4.6923076923076925,4.0,2.671346977566975,False
71,12,s2_1,245,29.702298,14,4.428571428571429,4.0,2.4411439272335804,False
71,12,s2_1,243,39.641358,10,5.0,3.5,3.6606010435446255,False
71,12,s2_1,245,46.049421,1,6.0,6.0,0.0,False
71,12,s2_1,244,49.502301,1,10.0,10.0,0.0,False
71,12,s2_1,246,57.141552,9,4.222222222222222,4.0,2.298684540619689,False
71,12,s2_1,243,80.170076,22,4.7727272727272725,5.0,2.8751572001579033,False
71,12,s2_1,246,86.701245,6,5.666666666666667,6.0,2.494438257849294,False
71,12,s2_1,245,92.902222,3,4.333333333333333,4.0,1.247219128924647,False
71,12,s2_1,245,105.953137,13,5.384615384615385,5.0,3.7731533749017605,False
71,12,s2_1,244,107.76138,7,6.0,7.0,2.390457218668787,False
71,12,s2_1,245,111.508168,2,2.5,2.5,0.5,False
71,12,s2_1,245,118.716452,4,5.5,6.0,2.29128784747792,False
71,12,s2_1,244,128.222677,2,2.5,2.5,1.5,False
71,12,s2_1,243,129.783536,3,5.0,5.0,0.816496580927726,False
71,12,s2_1,245,145.603016,1,2.0,2.0,0.0,False
71,12,s2_1,244,157.736374,1,2.0,2.0,0.0,False
71,12,s2_1,246,162.022545,7,1.8571428571428572,2.0,0.3499271061118826,False
71,12,s2_1,246,178.372366,11,3.5454545454545454,3.0,2.0164611829835306,False
71,12,s2_1,244,181.822018,11,5.454545454545454,4.0,3.3128849378706544,False
71,12,s2_1,243,183.965904,4,5.0,5.5,1.224744871391589,False
71,12,s2_1,246,185.589207,9,3.6666666666666665,3.0,2.0,False
71,12,s2_1,246,196.606232,6,2.5,2.0,1.6072751268321592,False
71,12,s2_1,243,228.394736,28,5.035714285714286,4.5,2.9818755226623836,False
71,12,s2_1,245,230.230476,17,4.235294117647059,4.0,1.733049395606616,False
71,12,s2_1,245,240.122902,3,1.0,1.0,0.0,False
71,12,s2_1,246,243.967029,1,6.0,6.0,0.0,False
71,12,s2_1,243,251.779867,5,4.8,4.0,2.1354156504062622,False
71,12,s2_1,246,256.336766,1,4.0,4.0,0.0,False
71,12,s2_1,243,256.983173,3,4.666666666666667,5.0,1.247219128924647,False
71,12,s2_1,245,257.3311,1,3.0,3.0,0.0,False
71,12,s2_1,244,264.976597,3,5.0,5.0,0.816496580927726,True
71,12,s2_1,244,266.426987,1,4.0,4.0,0.0,True
71,11,s2_2,243,0.0,4,3.5,3.5,1.118033988749895,False
71,11,s2_2,245,12.060626,18,4.722222222222222,3.5,3.0696643963425125,False
71,11,s2_2,245,22.811766,7,4.142857142857143,2.0,2.8499910490371434,False
71,11,s2_2,244,25.252612,7,5.571428571428571,8.0,3.1102201510110343,False
71,11,s2_2,243,26.228633,1,6.0,6.0,0.0,False
71,11,s2_2,243,32.799746999999996,2,2.5,2.5,0.5,False
71,11,s2_2,243,61.908835,3,5.666666666666667,6.0,2.0548046676563256,False
71,11,s2_2,245,64.13532,16,5.0625,5.0,2.9040650388722358,False
71,11,s2_2,244,64.206296,22,4.136363636363637,4.0,2.006703641331283,False
71,11,s2_2,243,83.698447,9,5.666666666666667,6.0,3.265986323710904,False
71,11,s2_2,245,84.07851,12,4.666666666666667,5.0,2.0949675149960894,False
71,11,s2_2,246,98.500649,42,4.238095238095238,3.0,2.7326031876959185,False
71,11,s2_2,243,99.982435,16,3.875,3.5,2.057759704144291,False
71,11,s2_2,245,114.734312,3,3.6666666666666665,3.0,1.699673171197595,False
71,11,s2_2,244,118.51553,10,3.1,3.0,1.4456832294800963,False
71,11,s2_2,243,118.799592,12,6.416666666666667,6.5,3.8396686778360913,False
71,11,s2_2,243,123.115723,3,3.3333333333333335,4.0,0.9428090415820634,False
71,11,s2_2,244,127.501325,6,5.166666666666667,4.0,3.8042374035044424,False
71,11,s2_2,243,130.444534,8,4.75,5.0,1.7853571071357126,False
71,11,s2_2,244,138.030748,1,3.0,3.0,0.0,False
71,11,s2_2,243,158.531645,21,4.285714285714286,4.0,2.141269252944487,False
71,11,s2_2,244,171.491784,14,4.642857142857143,3.5,2.9666513796135985,False
71,11,s2_2,246,173.40281,19,3.8421052631578947,3.0,1.8991177423861807,False
71,11,s2_2,245,180.746777,1,6.0,6.0,0.0,False
71,11,s2_2,245,185.131926,5,3.4,3.0,1.4966629547095764,False
71,11,s2_2,243,185.273342,9,4.555555555555555,4.0,2.165954298846436,False
71,11,s2_2,243,191.258944,8,5.0,4.5,2.449489742783178,False
71,11,s2_2,245,208.112377,4,3.5,3.5,1.118033988749895,False
71,11,s2_2,244,242.1786,3,4.0,4.0,0.816496580927726,False
