q1answer,q2answer,q3answer,q4answer,q5answer,q6answer,group_id,q1confidence,q2confidence,q3confidence,q4confidence,q5confidence,q6confidence,participant_id,q1wordsTotal,q2wordsTotal,q3wordsTotal,q4wordsTotal,q5wordsTotal,q6wordsTotal,q1interventionsTotal,q2interventionsTotal,q3interventionsTotal,q4interventionsTotal,q5interventionsTotal,q6interventionsTotal,q1wordLengthMean,q2wordLengthMean,q3wordLengthMean,q4wordLengthMean,q5wordLengthMean,q6wordLengthMean
8,0,8,4,3,0,62,4,4,4,3,3,5,190,131,149,183,,130,,20,19,23,,17,,4.496183206,4.418918919,4.158469945,,4.207692308,
7,0,10,0,8,5,62,3,3,5,5,4,4,191,88,53,132,,105,,11,7,16,,6,,4.402298851,4.442307692,3.961832061,,4.40952381,
4,1,8,3,7,0,62,3,4,4,4,3,5,192,67,118,127,,114,,6,12,14,,8,,4.417910448,4.136752137,4.094488189,,4.336363636,
8,2,0,10,5,0,76,5,3,5,5,3,5,209,57,25,85,,37,,8,3,6,,5,,4.327272727,4.24,4.404761905,,3.638888889,
4,5,10,2,4,2,76,3,4,5,4,4,4,214,73,30,159,,46,,8,6,12,,8,,3.808219178,4.066666667,3.949685535,,4.391304348,
0,8,4,7,6,5,76,2,4,1,3,3,3,204,22,38,44,,27,,4,7,4,,6,,4.473684211,4.181818182,3.825,,4.52,
7,8,10,5,5,0,77,4,3,4,3,3,1,220,36,,,34,26,39,11,,,10,6,5,4.555555556,,,3.823529412,3.961538462,3.868421053
5,0,10,10,1,3,77,4,5,5,5,4,3,222,66,,,53,116,13,7,,,8,10,4,4.215384615,,,4.215686275,3.921052632,4.416666667
8,10,5,5,6,0,77,2,3,1,3,2,5,217,36,,,32,33,36,6,,,7,6,4,4.75,,,4.433333333,4.060606061,4.472222222
5,2,2,3,8,1,78,5,5,5,5,4,5,225,,71,,64,57,27,,9,,6,7,4,,4.464788732,,4.890625,4.754385965,4.666666667
2,6,10,0,5,0,78,4,4,5,4,3,5,234,,74,,23,98,39,,11,,4,10,6,,4.279411765,,3.5,4.166666667,4.857142857
8,0,7,5,3,0,78,3,4,3,4,4,4,231,,36,,51,61,12,,8,,7,7,4,,4.25,,4.235294118,4.524590164,4.416666667
5,5,5,1,2,0,79,3,3,3,1,4,5,268,,90,22,118,136,,,11,5,16,23,,,4.066666667,3.954545455,4.034782609,4.422222222,
5,10,9,5,7,4,79,5,4,5,5,4,4,258,,64,42,88,69,,,8,5,9,13,,,4.322033898,4.263157895,4.329268293,3.967213115,
8,2,6,7,8,2,79,5,5,3,4,4,5,261,,85,79,129,126,,,11,10,13,19,,,4.6,4.202531646,3.9453125,4.404761905,
10,10,10,0,10,10,81,5,5,5,5,5,5,269,37,,49,,102,106,11,,13,,18,26,3.72972973,,3.816326531,,4.323529412,3.660377358
10,7,8,1,6,5,81,5,4,4,2,4,1,270,9,,21,,74,55,6,,5,,11,13,5,,4.476190476,,4.575342466,4.036363636
10,10,10,5,0,5,81,5,5,5,3,5,4,257,41,,34,,44,64,6,,3,,3,9,5.25,,4.205882353,,4.227272727,4.317460317
0,7,10,0,7,0,82,5,3,5,4,2,4,271,58,,13,49,28,,7,,5,4,5,,4.49122807,,2.916666667,4.127659574,3.92,
6,8,9,9,9,4,82,3,3,3,5,4,5,277,35,,37,8,7,,6,,4,1,2,,4.485714286,,4.27027027,3.5,2.714285714,
7,1,8,5,8,0,82,4,2,4,3,5,1,274,88,,43,32,47,,14,,7,3,8,,4.534090909,,4.395348837,4.53125,3.936170213,
9,5,5,3,8,6,83,2,4,4,3,4,4,292,85,,116,93,47,,5,,5,7,2,,4.752941176,,4.146551724,4.440860215,4.595744681,
10,10,5,0,10,5,83,5,5,3,1,5,3,280,97,,32,46,21,,4,,5,3,3,,4.484536082,,5,3.931818182,5.380952381,
0,3,5,8,6,4,83,5,4,3,4,2,4,286,57,,31,69,27,,5,,5,6,4,,4.421052632,,3.806451613,4.544117647,4.653846154,
5,8,5,1,6,0,84,3,4,3,5,3,5,301,37,51,26,,59,,5,5,6,,8,,4.081081081,4.62,3.72,,4.275862069,
1,9,10,0,8,5,84,2,4,4,4,2,3,295,56,65,21,,80,,8,9,5,,13,,4.25,4.215384615,2.857142857,,4.45,
4,7,6,0,9,0,85,4,4,3,5,3,5,313,131,,29,,110,27,8,,10,,9,4,4.496,,4.52,,4.682692308,5.166666667
5,7,8,0,10,2,85,3,4,4,5,5,5,310,55,,38,,34,31,7,,8,,6,6,4.888888889,,4.447368421,,4.382352941,4.903225806
7,10,6,8,6,5,85,3,4,3,3,3,3,307,42,,29,,54,10,6,,6,,8,2,4.853658537,,3.689655172,,4.055555556,5.111111111
3,3,0,7,6,10,92,3,4,4,3,3,3,350,20,,63,,34,102,7,,12,,12,20,4.15,,3.571428571,,4.088235294,4.539215686
2,6,6,6,8,0,92,3,4,4,3,4,5,356,32,,35,,75,108,8,,9,,19,26,3.875,,4.8,,4.36,4.186915888
4,4,8,0,1,0,92,3,4,4,4,4,5,353,47,,67,,112,133,10,,12,,22,28,4.326086957,,4.112903226,,4.6,4.088709677
0,0,0,1,6,0,93,5,5,5,4,3,5,362,32,,43,22,33,,5,,3,2,4,,5,,5.279069767,5.136363636,5.212121212,
0,9,3,0,0,0,93,5,5,4,5,4,5,371,33,,,3,32,,4,,,2,5,,4.833333333,,,3.666666667,4.15625,
0,10,10,0,3,3,93,5,4,5,5,4,3,368,32,,34,17,8,,6,,3,3,4,,4.15625,,4.242424242,3.875,4.125,
5,5,5,0,9,5,94,3,3,3,1,5,3,392,39,,25,50,,53,6,,5,3,,7,4.717948718,,3.92,3.58,,4.264150943
8,7,10,6,7,1,94,3,4,5,3,3,4,389,29,,15,34,,28,7,,5,4,,5,3.75862069,,4.066666667,5.029411765,,3.928571429
7,6,10,7,8,0,94,3,4,3,4,3,3,395,32,,9,25,,16,6,,3,4,,5,4.2,,3.444444444,4.5,,4.9375
1,4,8,0,10,7,96,4,4,5,4,5,5,338,38,,83,32,,27,2,,7,6,,6,4.736842105,,4.445783133,5.40625,,5.148148148
7,1,0,1,7,0,96,3,4,4,5,4,5,347,136,,80,48,,48,9,,8,8,,8,4.713235294,,4.696202532,5.020833333,,5.458333333
0,10,0,0,5,0,96,5,5,5,5,3,5,377,67,,106,2,,11,9,,14,2,,3,4.731343284,,4.264150943,2,,4.090909091
10,10,10,0,10,5,108,5,4,5,5,4,3,447,105,141,,,23,24,12,12,,,6,8,4.657142857,4.212765957,,,3.695652174,5.291666667
5,0,6,10,7,0,108,3,4,3,4,4,4,444,74,49,,,11,46,11,7,,,3,8,4.337837838,4.102040816,,,4.272727273,4.434782609
7,5,0,7,10,0,108,3,5,4,4,5,5,420,28,69,,,21,40,8,15,,,7,11,3.296296296,4,,,3.1,4.2
5,8,4,6,6,1,109,3,3,3,4,3,5,462,16,,41,,11,17,3,,7,,2,5,4.25,,3.609756098,,3.363636364,4.411764706
5,0,10,1,4,0,109,3,4,4,4,3,5,408,45,,48,,20,34,7,,8,,2,6,4.534883721,,4,,4.157894737,4.363636364
8,2,9,10,8,0,109,4,4,4,4,4,4,465,13,,55,,21,17,5,,8,,4,6,3.923076923,,3.833333333,,4.052631579,4.117647059
8,5,10,1,2,0,110,5,2,5,4,4,4,417,255,,219,210,152,,39,,26,33,22,,4.316742081,,4.217171717,4.073684211,4.28057554,
0,5,3,7,3,0,110,5,4,4,4,4,5,426,86,,66,69,66,,7,,6,9,6,,4.790697674,,4.242424242,4.130434783,4.393939394,
10,10,10,10,10,10,110,5,5,5,1,5,5,423,44,,27,40,28,,7,,6,9,6,,4.409090909,,4.37037037,5.051282051,4.321428571,
5,4,10,10,2,0,111,3,3,5,5,5,5,429,73,,48,63,94,,9,,5,8,9,,4.589041096,,4.145833333,5.46031746,4.329787234,
9,9,9,0,8,1,111,3,4,3,4,3,3,475,78,,73,89,60,,9,,8,12,8,,4.311688312,,4.150684932,4.25,4.166666667,
2,1,5,3,9,0,111,4,5,4,3,5,5,471,85,,63,146,53,,13,,10,15,11,,4.674698795,,4.53968254,4.280821918,4.452830189,
1,6,9,1,6,6,116,4,4,4,4,4,2,512,25,32,,,38,97,4,5,,,8,12,4.64,4.625,,,5.026315789,4.595744681
0,5,2,0,7,0,116,4,5,2,5,4,5,509,31,105,,,75,59,7,13,,,13,10,4.064516129,4.152380952,,,3.906666667,3.982758621
5,0,10,0,8,0,116,4,5,5,5,4,5,515,104,113,,,68,84,14,20,,,18,17,4.403846154,4.324324324,,,5.151515152,3.976190476
8,9,8,0,9,0,117,4,3,4,5,5,5,487,120,126,88,87,,,10,16,10,11,,,4.153846154,4.176470588,4.341176471,4.476744186,,
2,0,2,1,2,3,117,2,4,2,3,2,2,503,80,65,27,29,,,8,7,5,4,,,4.219178082,4.433333333,3.833333333,3.384615385,,
1,8,3,0,2,0,117,5,5,5,5,4,5,506,20,44,62,35,,,2,6,6,5,,,4.263157895,4.372093023,4.548387097,4.457142857,,
